,id,connectivity,instance
0,260,53,PART-1-1
1,260,54,PART-1-1
2,260,55,PART-1-1
3,260,9024,PART-1-1
4,1144,247,PART-1-1
5,1144,248,PART-1-1
6,1144,249,PART-1-1
7,1144,10324,PART-1-1
8,1145,10324,PART-1-1
9,1145,249,PART-1-1
10,1145,10294,PART-1-1
11,1145,10323,PART-1-1
12,1146,10323,PART-1-1
13,1146,10294,PART-1-1
14,1146,10295,PART-1-1
15,1146,10322,PART-1-1
16,1147,10322,PART-1-1
17,1147,10295,PART-1-1
18,1147,10296,PART-1-1
19,1147,10321,PART-1-1
20,1148,10321,PART-1-1
21,1148,10296,PART-1-1
22,1148,10297,PART-1-1
23,1148,10320,PART-1-1
24,1149,10320,PART-1-1
25,1149,10297,PART-1-1
26,1149,10298,PART-1-1
27,1149,10319,PART-1-1
28,1150,10319,PART-1-1
29,1150,10298,PART-1-1
30,1150,10299,PART-1-1
31,1150,10318,PART-1-1
32,1151,10318,PART-1-1
33,1151,10299,PART-1-1
34,1151,10300,PART-1-1
35,1151,10317,PART-1-1
36,1152,10317,PART-1-1
37,1152,10300,PART-1-1
38,1152,10301,PART-1-1
39,1152,10316,PART-1-1
40,1153,10316,PART-1-1
41,1153,10301,PART-1-1
42,1153,10302,PART-1-1
43,1153,10315,PART-1-1
44,1154,10315,PART-1-1
45,1154,10302,PART-1-1
46,1154,10303,PART-1-1
47,1154,10314,PART-1-1
48,1155,10314,PART-1-1
49,1155,10303,PART-1-1
50,1155,10304,PART-1-1
51,1155,10313,PART-1-1
52,1156,10313,PART-1-1
53,1156,10304,PART-1-1
54,1156,10305,PART-1-1
55,1156,10312,PART-1-1
56,1157,10312,PART-1-1
57,1157,10305,PART-1-1
58,1157,10306,PART-1-1
59,1157,10311,PART-1-1
60,1158,10311,PART-1-1
61,1158,10306,PART-1-1
62,1158,10307,PART-1-1
63,1158,10310,PART-1-1
64,1159,10310,PART-1-1
65,1159,10307,PART-1-1
66,1159,10308,PART-1-1
67,1159,10309,PART-1-1
68,1160,10309,PART-1-1
69,1160,10308,PART-1-1
70,1160,250,PART-1-1
71,1160,251,PART-1-1
72,1416,312,PART-1-1
73,1416,313,PART-1-1
74,1416,314,PART-1-1
75,1416,10745,PART-1-1
76,1433,313,PART-1-1
77,1433,317,PART-1-1
78,1433,10746,PART-1-1
79,1433,314,PART-1-1
80,1926,435,PART-1-1
81,1926,436,PART-1-1
82,1926,437,PART-1-1
83,1926,11558,PART-1-1
84,1927,11558,PART-1-1
85,1927,437,PART-1-1
86,1927,11528,PART-1-1
87,1927,11557,PART-1-1
88,1928,11557,PART-1-1
89,1928,11528,PART-1-1
90,1928,11529,PART-1-1
91,1928,11556,PART-1-1
92,1929,11556,PART-1-1
93,1929,11529,PART-1-1
94,1929,11530,PART-1-1
95,1929,11555,PART-1-1
96,1930,11555,PART-1-1
97,1930,11530,PART-1-1
98,1930,11531,PART-1-1
99,1930,11554,PART-1-1
100,1931,11554,PART-1-1
101,1931,11531,PART-1-1
102,1931,11532,PART-1-1
103,1931,11553,PART-1-1
104,1932,11553,PART-1-1
105,1932,11532,PART-1-1
106,1932,11533,PART-1-1
107,1932,11552,PART-1-1
108,1933,11552,PART-1-1
109,1933,11533,PART-1-1
110,1933,11534,PART-1-1
111,1933,11551,PART-1-1
112,1934,11551,PART-1-1
113,1934,11534,PART-1-1
114,1934,11535,PART-1-1
115,1934,11550,PART-1-1
116,1935,11550,PART-1-1
117,1935,11535,PART-1-1
118,1935,11536,PART-1-1
119,1935,11549,PART-1-1
120,1936,11549,PART-1-1
121,1936,11536,PART-1-1
122,1936,11537,PART-1-1
123,1936,11548,PART-1-1
124,1937,11548,PART-1-1
125,1937,11537,PART-1-1
126,1937,11538,PART-1-1
127,1937,11547,PART-1-1
128,1938,11547,PART-1-1
129,1938,11538,PART-1-1
130,1938,11539,PART-1-1
131,1938,11546,PART-1-1
132,1939,11546,PART-1-1
133,1939,11539,PART-1-1
134,1939,11540,PART-1-1
135,1939,11545,PART-1-1
136,1940,11545,PART-1-1
137,1940,11540,PART-1-1
138,1940,11541,PART-1-1
139,1940,11544,PART-1-1
140,1941,11544,PART-1-1
141,1941,11541,PART-1-1
142,1941,11542,PART-1-1
143,1941,11543,PART-1-1
144,1942,11543,PART-1-1
145,1942,11542,PART-1-1
146,1942,438,PART-1-1
147,1942,439,PART-1-1
148,1943,436,PART-1-1
149,1943,440,PART-1-1
150,1943,11559,PART-1-1
151,1943,437,PART-1-1
152,1944,437,PART-1-1
153,1944,11559,PART-1-1
154,1944,11560,PART-1-1
155,1944,11528,PART-1-1
156,1945,11528,PART-1-1
157,1945,11560,PART-1-1
158,1945,11561,PART-1-1
159,1945,11529,PART-1-1
160,1946,11529,PART-1-1
161,1946,11561,PART-1-1
162,1946,11562,PART-1-1
163,1946,11530,PART-1-1
164,1947,11530,PART-1-1
165,1947,11562,PART-1-1
166,1947,11563,PART-1-1
167,1947,11531,PART-1-1
168,1948,11531,PART-1-1
169,1948,11563,PART-1-1
170,1948,11564,PART-1-1
171,1948,11532,PART-1-1
172,1949,11532,PART-1-1
173,1949,11564,PART-1-1
174,1949,11565,PART-1-1
175,1949,11533,PART-1-1
176,1950,11533,PART-1-1
177,1950,11565,PART-1-1
178,1950,11566,PART-1-1
179,1950,11534,PART-1-1
180,1951,11534,PART-1-1
181,1951,11566,PART-1-1
182,1951,11567,PART-1-1
183,1951,11535,PART-1-1
184,1952,11535,PART-1-1
185,1952,11567,PART-1-1
186,1952,11568,PART-1-1
187,1952,11536,PART-1-1
188,1953,11536,PART-1-1
189,1953,11568,PART-1-1
190,1953,11569,PART-1-1
191,1953,11537,PART-1-1
192,1954,11537,PART-1-1
193,1954,11569,PART-1-1
194,1954,11570,PART-1-1
195,1954,11538,PART-1-1
196,1955,11538,PART-1-1
197,1955,11570,PART-1-1
198,1955,11571,PART-1-1
199,1955,11539,PART-1-1
200,1956,11539,PART-1-1
201,1956,11571,PART-1-1
202,1956,11572,PART-1-1
203,1956,11540,PART-1-1
204,1957,11540,PART-1-1
205,1957,11572,PART-1-1
206,1957,11573,PART-1-1
207,1957,11541,PART-1-1
208,1958,11541,PART-1-1
209,1958,11573,PART-1-1
210,1958,11574,PART-1-1
211,1958,11542,PART-1-1
